flow_id,file_id,session_id,data_origin,flow_duration,forward_packet_count,backward_packet_count,total_packet_count,forward_bytes,backward_bytes,total_bytes,avg_packet_size,min_packet_size,max_packet_size,packet_size_variance,mean_iat,median_iat,iat_std,min_iat,max_iat,fwd_bwd_packet_ratio,fwd_bwd_byte_ratio,burst_count,avg_burst_bytes,avg_burst_packets,protocol,dst_port,tls_version,tls_cipher_suites_count,tls_extensions_count,tls_sni_present,traffic_class
20260823_160546_messaging_001_240e_flow_00000,real_20260823_160546_messaging_001_240e,20260823_160546_messaging_001_240e,real,59.67881894111633,8501,0,8501,10601758,0,10601758,1247.1189271850371,88.0,1372.0,130113.17218734455,0.0070210375224842745,0.0,0.058202158366357344,0.0,1.6144969463348389,8501.0,10601758.0,9,1177973.111111111,944.5555555555555,UDP,52783,UNKNOWN,0,0,0,Messaging
20260823_160546_messaging_001_240e_flow_00001,real_20260823_160546_messaging_001_240e,20260823_160546_messaging_001_240e,real,59.638185024261475,1544,0,1544,282286,0,282286,182.8277202072539,84.0,1365.0,40376.23327304089,0.038650800404576455,0.0004341602325439453,0.13395137518326103,1.6927719116210938e-05,1.6142919063568115,1544.0,282286.0,9,31365.11111111111,171.55555555555554,UDP,443,UNKNOWN,0,0,0,Messaging
20260823_160828_messaging_001_7f33_flow_00000,real_20260823_160828_messaging_001_7f33,20260823_160828_messaging_001_7f33,real,58.79007601737976,381,0,381,69442,0,69442,182.26246719160105,84.0,1365.0,57910.844496800106,0.1547107263615257,0.030955910682678223,0.30681305308588436,1.811981201171875e-05,1.681096076965332,381.0,69442.0,15,4629.466666666666,25.4,UDP,443,UNKNOWN,0,0,0,Messaging
20260823_160828_messaging_001_7f33_flow_00001,real_20260823_160828_messaging_001_7f33,20260823_160828_messaging_001_7f33,real,58.79341101646423,408,0,408,109316,0,109316,267.9313725490196,88.0,1365.0,140347.36783929256,0.14445555532300794,0.03795504570007324,0.2936709021085819,0.0,1.6811070442199707,408.0,109316.0,14,7808.285714285715,29.142857142857142,UDP,52783,UNKNOWN,0,0,0,Messaging
20260823_160828_messaging_001_7f33_flow_00002,real_20260823_160828_messaging_001_7f33,20260823_160828_messaging_001_7f33,real,3.040477991104126,4,0,4,848,0,848,212.0,212.0,212.0,0.0,1.0134926637013753,1.01304292678833,0.0018729397593685096,1.0114569664001465,1.0159780979156494,4.0,848.0,4,212.0,1.0,UDP,1900,UNKNOWN,0,0,0,Messaging
20260823_161053_messaging_001_e319_flow_00000,real_20260823_161053_messaging_001_e319,20260823_161053_messaging_001_e319,real,58.93742609024048,550,0,550,160416,0,160416,291.66545454545457,88.0,1365.0,153670.28807933885,0.10735414588386244,0.01600790023803711,0.25298867384314044,0.0,1.9960989952087402,550.0,160416.0,13,12339.692307692309,42.30769230769231,UDP,52783,UNKNOWN,0,0,0,Messaging
20260823_161053_messaging_001_e319_flow_00001,real_20260823_161053_messaging_001_e319,20260823_161053_messaging_001_e319,real,58.89076018333435,589,0,589,245647,0,245647,417.0577249575552,84.0,1365.0,259623.23945220961,0.10015435405328971,0.004611968994140625,0.2513565525243305,2.384185791015625e-05,2.0426290035247803,589.0,245647.0,12,20470.583333333332,49.083333333333336,UDP,443,UNKNOWN,0,0,0,Messaging
20260823_161053_messaging_001_e319_flow_00002,real_20260823_161053_messaging_001_e319,20260823_161053_messaging_001_e319,real,3.023790121078491,4,0,4,848,0,848,212.0,212.0,212.0,0.0,1.007930040359497,1.0061218738555908,0.00551624210725288,1.0022621154785156,1.0154061317443848,4.0,848.0,4,212.0,1.0,UDP,1900,UNKNOWN,0,0,0,Messaging
20260823_161401_voip_001_b89f_flow_00000,real_20260823_161401_voip_001_b89f,20260823_161401_voip_001_b89f,real,58.84093403816223,605,0,605,239139,0,239139,395.2710743801653,88.0,1365.0,236808.46866744073,0.09741876496384476,0.015012025833129883,0.27113989685245954,0.0,2.8506600856781006,605.0,239139.0,8,29892.375,75.625,UDP,52783,UNKNOWN,0,0,0,VoIP
20260823_161401_voip_001_b89f_flow_00001,real_20260823_161401_voip_001_b89f,20260823_161401_voip_001_b89f,real,58.79370188713074,532,0,532,130152,0,130152,244.64661654135338,84.0,1365.0,110141.01045847703,0.11072260242397503,0.01534581184387207,0.28941490413117443,2.193450927734375e-05,2.851161003112793,532.0,130152.0,9,14461.333333333334,59.111111111111114,UDP,443,UNKNOWN,0,0,0,VoIP
