flow_id,session_id,traffic_class,protocol,duration,packet_count,byte_count,feature_valid,label_valid
20260823_162302_voip_001_6194_flow_00002,20260823_162302_voip_001_6194,VoIP,UDP,3.0362,4,848,TRUE,TRUE
20260823_162426_voip_001_9219_flow_00000,20260823_162426_voip_001_9219,VoIP,UDP,58.7276,670,132709,TRUE,TRUE
20260823_162426_voip_001_9219_flow_00001,20260823_162426_voip_001_9219,VoIP,UDP,58.6866,776,262807,TRUE,TRUE
20260823_162426_voip_001_9219_flow_00002,20260823_162426_voip_001_9219,VoIP,UDP,3.0204,4,848,TRUE,TRUE
20260823_162544_voip_001_9fd7_flow_00000,20260823_162544_voip_001_9fd7,VoIP,UDP,59.8168,444,63949,TRUE,TRUE
20260823_162544_voip_001_9fd7_flow_00001,20260823_162544_voip_001_9fd7,VoIP,UDP,59.7695,489,145166,TRUE,TRUE
20260823_162704_voip_001_571e_flow_00000,20260823_162704_voip_001_571e,VoIP,UDP,59.3967,357,93865,TRUE,TRUE
20260823_162704_voip_001_571e_flow_00001,20260823_162704_voip_001_571e,VoIP,UDP,58.427,332,55389,TRUE,TRUE
20260823_162704_voip_001_571e_flow_00002,20260823_162704_voip_001_571e,VoIP,UDP,3.0373,4,848,TRUE,TRUE
20260823_162946_file_transfer_001_5b75_flow_00000,20260823_162946_file_transfer_001_5b75,File Transfer,UDP,58.8158,506,120165,TRUE,TRUE
20260823_162946_file_transfer_001_5b75_flow_00001,20260823_162946_file_transfer_001_5b75,File Transfer,UDP,58.8305,526,137675,TRUE,TRUE
20260823_163126_file_transfer_001_bea6_flow_00000,20260823_163126_file_transfer_001_bea6,File Transfer,UDP,59.9426,367,88701,TRUE,TRUE
20260823_163126_file_transfer_001_bea6_flow_00001,20260823_163126_file_transfer_001_bea6,File Transfer,UDP,59.8964,342,56238,TRUE,TRUE
20260823_163237_file_transfer_001_390f_flow_00000,20260823_163237_file_transfer_001_390f,File Transfer,UDP,55.9936,366,79423,TRUE,TRUE
20260823_163237_file_transfer_001_390f_flow_00001,20260823_163237_file_transfer_001_390f,File Transfer,UDP,55.9968,389,103347,TRUE,TRUE
20260823_163237_file_transfer_001_390f_flow_00002,20260823_163237_file_transfer_001_390f,File Transfer,UDP,3.0276,4,848,TRUE,TRUE
20260823_163447_file_transfer_001_d03c_flow_00000,20260823_163447_file_transfer_001_d03c,File Transfer,UDP,59.6995,526,155000,TRUE,TRUE
20260823_163447_file_transfer_001_d03c_flow_00001,20260823_163447_file_transfer_001_d03c,File Transfer,UDP,59.6514,478,100251,TRUE,TRUE
20260823_163447_file_transfer_001_d03c_flow_00002,20260823_163447_file_transfer_001_d03c,File Transfer,UDP,3.0286,4,848,TRUE,TRUE
20260823_163557_file_transfer_001_aa30_flow_00000,20260823_163557_file_transfer_001_aa30,File Transfer,UDP,59.5694,345,87236,TRUE,TRUE
20260823_163557_file_transfer_001_aa30_flow_00001,20260823_163557_file_transfer_001_aa30,File Transfer,UDP,59.5224,312,48216,TRUE,TRUE
20260823_163704_file_transfer_001_2090_flow_00000,20260823_163704_file_transfer_001_2090,File Transfer,UDP,59.0605,388,102110,TRUE,TRUE
20260823_163704_file_transfer_001_2090_flow_00001,20260823_163704_file_transfer_001_2090,File Transfer,UDP,59.0294,362,79691,TRUE,TRUE
20260823_163704_file_transfer_001_2090_flow_00002,20260823_163704_file_transfer_001_2090,File Transfer,UDP,3.0276,4,848,TRUE,TRUE
20260823_163829_file_transfer_001_a40b_flow_00000,20260823_163829_file_transfer_001_a40b,File Transfer,UDP,59.1283,603,136589,TRUE,TRUE
20260823_163829_file_transfer_001_a40b_flow_00001,20260823_163829_file_transfer_001_a40b,File Transfer,UDP,59.1287,642,182188,TRUE,TRUE
20260823_163829_file_transfer_001_a40b_flow_00002,20260823_163829_file_transfer_001_a40b,File Transfer,UDP,3.0184,4,848,TRUE,TRUE
20260823_163936_file_transfer_001_3420_flow_00000,20260823_163936_file_transfer_001_3420,File Transfer,UDP,58.4839,919,356598,TRUE,TRUE
20260823_163936_file_transfer_001_3420_flow_00001,20260823_163936_file_transfer_001_3420,File Transfer,UDP,58.484,795,170061,TRUE,TRUE
20260823_164056_file_transfer_001_1a06_flow_00000,20260823_164056_file_transfer_001_1a06,File Transfer,UDP,59.7332,416,100066,TRUE,TRUE
20260823_164056_file_transfer_001_1a06_flow_00001,20260823_164056_file_transfer_001_1a06,File Transfer,UDP,59.7025,392,61021,TRUE,TRUE
20260823_164056_file_transfer_001_1a06_flow_00002,20260823_164056_file_transfer_001_1a06,File Transfer,UDP,3.0169,4,848,TRUE,TRUE
20260823_164203_file_transfer_001_0aa3_flow_00000,20260823_164203_file_transfer_001_0aa3,File Transfer,UDP,59.7938,344,88924,TRUE,TRUE
20260823_164203_file_transfer_001_0aa3_flow_00001,20260823_164203_file_transfer_001_0aa3,File Transfer,UDP,59.7642,319,48725,TRUE,TRUE
20260823_164647_other_001_d4e4_flow_00000,20260823_164647_other_001_d4e4,Other,UDP,59.4983,362,75569,TRUE,TRUE
20260823_164647_other_001_d4e4_flow_00001,20260823_164647_other_001_d4e4,Other,UDP,59.4983,377,102248,TRUE,TRUE
20260823_164647_other_001_d4e4_flow_00002,20260823_164647_other_001_d4e4,Other,UDP,3.0335,4,848,TRUE,TRUE
20260823_164826_other_001_eac8_flow_00000,20260823_164826_other_001_eac8,Other,UDP,59.452,306,58053,TRUE,TRUE
20260823_164826_other_001_eac8_flow_00001,20260823_164826_other_001_eac8,Other,UDP,59.4737,328,88796,TRUE,TRUE
20260823_164826_other_001_eac8_flow_00003,20260823_164826_other_001_eac8,Other,UDP,3.0224,4,848,TRUE,TRUE
