flow_id,file_id,session_id,data_origin,flow_duration,forward_packet_count,backward_packet_count,total_packet_count,forward_bytes,backward_bytes,total_bytes,avg_packet_size,min_packet_size,max_packet_size,packet_size_variance,mean_iat,median_iat,iat_std,min_iat,max_iat,fwd_bwd_packet_ratio,fwd_bwd_byte_ratio,burst_count,avg_burst_bytes,avg_burst_packets,protocol,dst_port,tls_version,tls_cipher_suites_count,tls_extensions_count,tls_sni_present,traffic_class,environment_id,network_condition_id,capture_day,capture_date,collection_batch,device_id,interface_type,tunnel_state,activity_variant,dataset_version
20260823_151441_video_001_104d_flow_00000,real_20260823_151441_video_001_104d,20260823_151441_video_001_104d,real,59.917827129364014,15441,0,15441,19474535,0,19474535,1261.2223949226086,88.0,1372.0,114904.43587175933,0.0038806882855805707,0.0,0.037254365581976805,0.0,1.9774081707000732,15441.0,19474535.0,5,3894907.0,3088.2,UDP,52783,UNKNOWN,0,0,0,Video,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,vid_twitch_live,v2
20260823_151441_video_001_104d_flow_00001,real_20260823_151441_video_001_104d,20260823_151441_video_001_104d,real,59.84831619262695,2510,0,2510,526030,0,526030,209.57370517928288,84.0,1365.0,55147.812695036584,0.02385345404249779,0.00039696693420410156,0.09022188357915459,1.5020370483398438e-05,1.9855709075927734,2510.0,526030.0,4,131507.5,627.5,UDP,443,UNKNOWN,0,0,0,Video,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,vid_twitch_live,v2
20260823_151621_video_001_efa4_flow_00000,real_20260823_151621_video_001_efa4,20260823_151621_video_001_efa4,real,59.58729410171509,3919,0,3919,4439371,0,4439371,1132.781576932891,88.0,1372.0,227566.69482772506,0.015208599821775163,0.0,0.08816348444183418,0.0,1.405104160308838,3919.0,4439371.0,8,554921.375,489.875,UDP,52783,UNKNOWN,0,0,0,Video,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,vid_vimeo_720p,v2
20260823_151621_video_001_efa4_flow_00001,real_20260823_151621_video_001_efa4,20260823_151621_video_001_efa4,real,59.943840980529785,1125,0,1125,269003,0,269003,239.11377777777778,84.0,1365.0,92596.73194350617,0.053330819377695536,0.0006754398345947266,0.16161437156445785,1.5974044799804688e-05,1.4051101207733154,1125.0,269003.0,8,33625.375,140.625,UDP,443,UNKNOWN,0,0,0,Video,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,vid_vimeo_720p,v2
20260823_153012_video_001_641b_flow_00000,real_20260823_153012_video_001_641b,20260823_153012_video_001_641b,real,59.673429012298584,7741,0,7741,6073487,0,6073487,784.5868750807389,88.0,1372.0,367070.4587038507,0.007709745350426174,0.0,0.04076787423346868,0.0,1.7474169731140137,7741.0,6073487.0,2,3036743.5,3870.5,UDP,52783,UNKNOWN,0,0,0,Video,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,vid_twitch_live,v2
20260823_153012_video_001_641b_flow_00001,real_20260823_153012_video_001_641b,20260823_153012_video_001_641b,real,59.67344903945923,7258,0,7258,7804288,0,7804288,1075.2670157068062,84.0,1375.0,252079.05297927256,0.008222881223571617,2.193450927734375e-05,0.04314781786744279,1.0967254638671875e-05,1.7790181636810303,7258.0,7804288.0,2,3902144.0,3629.0,UDP,443,UNKNOWN,0,0,0,Video,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,vid_twitch_live,v2
20260823_153142_video_001_2480_flow_00000,real_20260823_153142_video_001_2480,20260823_153142_video_001_2480,real,59.64937090873718,979,0,979,799234,0,799234,816.3779366700714,88.0,1365.0,370855.3913824638,0.060991176798299775,0.0,0.21017161247647229,0.0,2.5632059574127197,979.0,799234.0,10,79923.4,97.9,UDP,52783,UNKNOWN,0,0,0,Video,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,vid_vimeo_720p,v2
20260823_153142_video_001_2480_flow_00001,real_20260823_153142_video_001_2480,20260823_153142_video_001_2480,real,59.617987871170044,510,0,510,107753,0,107753,211.28039215686275,84.0,1365.0,83928.16647827758,0.11712767754650304,0.014937877655029297,0.28261751549235814,2.002716064453125e-05,2.561797857284546,510.0,107753.0,9,11972.555555555555,56.666666666666664,UDP,443,UNKNOWN,0,0,0,Video,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,vid_vimeo_720p,v2
20260823_154438_video_001_566f_flow_00000,real_20260823_154438_video_001_566f,20260823_154438_video_001_566f,real,59.00957107543945,13318,0,13318,16925302,0,16925302,1270.85913800871,88.0,1372.0,105648.14504752248,0.004431145984488958,0.0,0.05028886774455308,0.0,2.9263861179351807,13318.0,16925302.0,8,2115662.75,1664.75,UDP,52783,UNKNOWN,0,0,0,Video,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,vid_twitch_live,v2
20260823_154438_video_001_566f_flow_00001,real_20260823_154438_video_001_566f,20260823_154438_video_001_566f,real,59.00915789604187,2307,0,2307,552528,0,552528,239.5006501950585,84.0,1373.0,72215.52524881868,0.025589400648760568,0.00023603439331054688,0.11988132577169847,1.1920928955078125e-05,2.972860813140869,2307.0,552528.0,8,69066.0,288.375,UDP,443,UNKNOWN,0,0,0,Video,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,vid_twitch_live,v2
